Wall time,Step,Value
1669718439,0,0.957129657
1669720706,1,0.886365891
1669722980,2,0.845419765
1669725256,3,0.803827941
1669727526,4,0.768508732
1669729797,5,0.740507662
1669732076,6,0.718970418
1669734351,7,0.699575365
1669736622,8,0.681978643
1669738893,9,0.663277745
1669741168,10,0.65086931
1669743433,11,0.637474835
1669745708,12,0.627519011
1669747976,13,0.619449198
1669750245,14,0.612684608
1669752516,15,0.60459882
1669754853,16,0.595867038
1669757197,17,0.591448426
1669759474,18,0.586417913
1669761790,19,0.581091106
1669764093,20,0.574307501
1669766384,21,0.571917474
1669768688,22,0.566104829
1669771014,23,0.56299907
1669773316,24,0.555146396
1669775604,25,0.549711943
1669777940,26,0.547290921
1669780250,27,0.542040884
1669782560,28,0.538104475
1669784910,29,0.535281301
1669787194,30,0.530036032
1669789477,31,0.524116397
1669791750,32,0.521423697
1669794049,33,0.51603812
1669796308,34,0.512932599
1669798572,35,0.508735895
1669800917,36,0.506641805
1669803198,37,0.50300914
1669805456,38,0.498462945
1669807715,39,0.494587004
1669809977,40,0.49060896
1669812243,41,0.488690555
1669814503,42,0.484934866
1669816764,43,0.482023895
1669819032,44,0.479119629
1669821292,45,0.476318419
1669823552,46,0.472731829
1669825820,47,0.472259492
1669828090,48,0.468147963
1669830356,49,0.464019656
1669832640,50,0.463189483
1669834913,51,0.462417185
1669837197,52,0.459121794
1669839471,53,0.458467752
1669841755,54,0.455311894
1669844029,55,0.45214963
1669846301,56,0.450862378
1669848571,57,0.448270082
1669850841,58,0.446752131
1669853112,59,0.442964673
1669855389,60,0.441555202
1669857662,61,0.439130992
1669859958,62,0.438986778
1669862273,63,0.434103757
1669864570,64,0.43185997
1669866854,65,0.429960281
1669869151,66,0.427898377
1669871422,67,0.424442858
1669873687,68,0.422974348
1669875969,69,0.419496566
1669878247,70,0.417754054
1669880518,71,0.414964885
1669882782,72,0.412280768
1669885044,73,0.412018239
1669887319,74,0.409146398
1669889689,75,0.407288074
1669892000,76,0.40772438
1669894357,77,0.403232336
1669896751,78,0.400839448
1669899142,79,0.398640066
1669901531,80,0.396848381
1669903922,81,0.394191653
1669906312,82,0.391398907
1669908699,83,0.389824986
1669911088,84,0.3895697
1669913478,85,0.387183785
1669915864,86,0.385788858
1669918250,87,0.381266266
1669920636,88,0.379309893
1669922998,89,0.379715472
1669925268,90,0.377185881
1669927526,91,0.37490806
1669929791,92,0.372936934
1669932056,93,0.371823281
1669934330,94,0.371723533
1669936596,95,0.36997062
1669938861,96,0.367610455
1669941136,97,0.366039395
1669943413,98,0.364709169
1669945702,99,0.364030898
1669948744,100,0.36106497
1669951066,101,0.359962523
1669953355,102,0.35879457
1669955738,103,0.356261432
1669958032,104,0.355020523
1669960316,105,0.353453696
1669962695,106,0.353928715
1669965087,107,0.35145995
1669967436,108,0.34877038
1669969737,109,0.348967791
1669975530,110,0.346718192
1669977807,111,0.343874216
1669980076,112,0.343162179
1669982348,113,0.343723267
1669984629,114,0.34147957
1669986894,115,0.342084765
1669989159,116,0.339129418
1669991429,117,0.336108804
1669993695,118,0.339264363
1669995958,119,0.335517138
1669998230,120,0.335394263
1670000505,121,0.333773375
1670002775,122,0.331819534
1670005052,123,0.331991374
1670007329,124,0.330182999
1670009598,125,0.329909891
1670011894,126,0.328061968
1670014192,127,0.326852888
1670016491,128,0.324937999
1670018855,129,0.323462963
1670021214,130,0.325859278
1670023491,131,0.323094577
1670025758,132,0.321825862
1670028024,133,0.320272893
1670030302,134,0.320403248
1670032589,135,0.318159372
1670034859,136,0.317801535
1670037130,137,0.317463696
1670039418,138,0.317261398
1670041710,139,0.315297037
1670044019,140,0.316196412
1670046321,141,0.314123362
1670048621,142,0.311837018
1670050912,143,0.311600804
1670067610,144,0.309663683
1670069882,145,0.30880785
1670072161,146,0.309268922
1670074431,147,0.307660878
1670076709,148,0.308156043
1670078990,149,0.306880623
1670081260,150,0.302430302
1670083538,151,0.305792749
1670085823,152,0.306013256
1670088094,153,0.302859336
1670090375,154,0.303773344
1670092658,155,0.302009255
1670094932,156,0.300678104
1670097206,157,0.300732434
1670099491,158,0.298413306
1670101768,159,0.298776656
1670104042,160,0.297485262
1670106353,161,0.2966429
1670108662,162,0.296933681
1670110953,163,0.296724558
1670113242,164,0.295173645
1670115520,165,0.295395613
1670117803,166,0.294059753
1670120125,167,0.294616431
1670122403,168,0.294439524
1670124742,169,0.292418599
1670127045,170,0.290572315
1670129363,171,0.291020393
1670131649,172,0.290815592
1670133914,173,0.289822608
1670136209,174,0.290548772
1670138538,175,0.288805068
1670140848,176,0.289645225
1670143168,177,0.288398892
1670145473,178,0.288035214
1670147760,179,0.287166983
1670150059,180,0.287055105
1670152342,181,0.284682274
1670154619,182,0.283915907
1670156892,183,0.284035474
1670159169,184,0.283827305
1670161451,185,0.283086151
1670163726,186,0.284118712
1670166002,187,0.281012446
1670168276,188,0.28175506
1670170555,189,0.281344444
1670172829,190,0.279136986
1670175107,191,0.279543251
1670177382,192,0.279288232
1670179659,193,0.277994275
1670181932,194,0.280598313
1670184207,195,0.27867955
1670186510,196,0.277747363
1670188808,197,0.27633673
1670191110,198,0.277132958
1670193395,199,0.276954859
1670195672,200,0.275138408
1670197959,201,0.274756253
