Wall time,Step,Value
1669718439,0,-7.016545773
1669720706,1,-8.744668961
1669722980,2,-8.377081871
1669725256,3,-8.197986603
1669727526,4,-8.266750336
1669729797,5,-11.07963467
1669732076,6,-13.49138927
1669734351,7,-14.39639568
1669736622,8,-18.01714516
1669738893,9,-16.32656479
1669741168,10,-16.66553497
1669743433,11,-18.97341728
1669745708,12,-24.4374485
1669747976,13,-27.14860344
1669750245,14,-27.26612663
1669752516,15,-28.97545052
1669754853,16,-29.86886024
1669757197,17,-32.80596924
1669759474,18,-31.12512779
1669761790,19,-32.47055817
1669764093,20,-29.26952744
1669766384,21,-32.85105896
1669768688,22,-29.02192688
1669771014,23,-25.75338745
1669773316,24,-23.53373528
1669775604,25,-20.81929207
1669777940,26,-21.0735836
1669780250,27,-20.83187294
1669782560,28,-20.5119915
1669784910,29,-19.31263542
1669787194,30,-18.72367287
1669789477,31,-19.67259407
1669791750,32,-18.63592529
1669794049,33,-17.22241211
1669796308,34,-17.39830208
1669798572,35,-17.84754753
1669800917,36,-18.24835777
1669803198,37,-17.8545742
1669805456,38,-18.95377541
1669807715,39,-19.51697731
1669809977,40,-19.28416824
1669812243,41,-19.05434227
1669814503,42,-18.23455048
1669816764,43,-18.51777077
1669819032,44,-18.42765617
1669821292,45,-18.46257019
1669823552,46,-18.8241806
1669825820,47,-19.30338478
1669828090,48,-19.05516815
1669830356,49,-18.47618484
1669832640,50,-18.84516144
1669834913,51,-18.64560318
1669837197,52,-19.29579735
1669839471,53,-20.19033051
1669841755,54,-19.86845016
1669844029,55,-19.51229477
1669846301,56,-19.63731956
1669848571,57,-19.34084511
1669850841,58,-19.61064529
1669853112,59,-19.69338799
1669855389,60,-20.2847271
1669857662,61,-21.02272987
1669859958,62,-21.16808319
1669862273,63,-22.12817001
1669864570,64,-22.17183495
1669866854,65,-22.35965919
1669869151,66,-23.325737
1669871422,67,-23.82085037
1669873687,68,-23.56793594
1669875969,69,-22.51992798
1669878247,70,-22.60951042
1669880518,71,-22.90180969
1669882782,72,-22.95754623
1669885044,73,-23.45296669
1669887319,74,-23.38228416
1669889689,75,-22.82663345
1669892000,76,-23.11392975
1669894357,77,-21.96803284
1669896751,78,-22.60474205
1669899142,79,-23.70998001
1669901531,80,-22.47743034
1669903922,81,-22.55481339
1669906312,82,-23.53295898
1669908699,83,-22.79164314
1669911088,84,-23.49010849
1669913478,85,-23.78660011
1669915864,86,-23.38469887
1669918250,87,-23.21681213
1669920636,88,-23.17703247
1669922998,89,-24.58740997
1669925268,90,-23.82780838
1669927526,91,-23.61640167
1669929791,92,-23.67214394
1669932056,93,-24.33665848
1669934330,94,-23.72052383
1669936596,95,-24.27110863
1669938861,96,-24.78730392
1669941136,97,-24.25901031
1669943413,98,-24.02258492
1669945702,99,-24.40781784
1669948744,100,-25.06859589
1669951066,101,-25.12550354
1669953355,102,-24.48752403
1669955738,103,-24.91563225
1669958032,104,-25.31519318
1669960316,105,-25.27898216
1669962695,106,-24.80780602
1669965087,107,-24.27355194
1669967436,108,-23.88011742
1669969737,109,-25.14890289
1669975530,110,-25.2294693
1669977807,111,-25.72927094
